faction,gameSystem,spellId,name,type,threshold,effect,effectSkirmish,spellbookId
Alien Hives,grimdark-future,KRMqK,Terror,2,1,"Target 2 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Alien Hives,grimdark-future,G0b6O,Psychic Blast,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Alien Hives,grimdark-future,wp5FZ,Animate Flora,1,2,"Target 2 friendly units within 12"" get Flying next time they move.","Target 4 friendly units within 12"" get Flying next time they move.",hULCg
Alien Hives,grimdark-future,5wvl3,Shriek,0,2,"Target 2 enemy units within 12"" take 4 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Alien Hives,grimdark-future,4qi6f,Infuse Life,1,3,"Target 3 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Alien Hives,grimdark-future,K6cik,Overwhelm,0,3,"Target enemy model within 12"" takes 3 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
Battle Brothers,grimdark-future,c19YO,Blurred Sight,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Battle Brothers,grimdark-future,0IRkW,Psychic Terror,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Battle Brothers,grimdark-future,iBpcF,Cursed Ground,2,2,"Target 2 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Battle Brothers,grimdark-future,IiOah,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Battle Brothers,grimdark-future,L_-cl,Time Passage,1,3,"Target 2 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Battle Brothers,grimdark-future,98xBf,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Blessed Sisters,grimdark-future,PXKkZ,Holy Tears,1,1,"Target 2 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Blessed Sisters,grimdark-future,e1cKU,Eternal Flame,0,1,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Blessed Sisters,grimdark-future,J0DHx,Heretics,2,2,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Blessed Sisters,grimdark-future,Ppwg0,Admonition,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Blessed Sisters,grimdark-future,FlokU,Litanies,1,3,"Target 2 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Blessed Sisters,grimdark-future,WojQ5,Righteous Wrath,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Blood Brothers,grimdark-future,XocHv,Fear,2,1,"Target 2 enemy units within 18"" move -1"" next time they Advance, or -2"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -1"" next time they Advance, or -2"" next time they Charge/Rush.",tnhFl
Blood Brothers,grimdark-future,rTbGA,Lance,0,1,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Blood Brothers,grimdark-future,waGkt,Quickness,1,2,"Target 2 friendly units within 12"" get AP(+2) next time they charge.","Target 4 friendly units within 12"" get AP(+2) next time they charge.",wdqGV
Blood Brothers,grimdark-future,Vflft,Blood Curse,0,2,"Target 2 enemy units within 12"" take 4 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Blood Brothers,grimdark-future,X4OVM,Break Shields,2,3,"Target 2 enemy units within 18"" get -2 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -2 to defense rolls next time they take hits.",fXthP
Blood Brothers,grimdark-future,j3c3o,Rage Burst,0,3,"Target enemy unit within 12"" takes 6 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Blood Prime Brothers,grimdark-future,4IayG,Fear,2,1,"Target 2 enemy units within 18"" move -1"" next time they Advance, or -2"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -1"" next time they Advance, or -2"" next time they Charge/Rush.",tnhFl
Blood Prime Brothers,grimdark-future,Qjz6j,Lance,0,1,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Blood Prime Brothers,grimdark-future,qIlqk,Quickness,1,2,"Target 2 friendly units within 12"" get AP(+2) next time they charge.","Target 4 friendly units within 12"" get AP(+2) next time they charge.",wdqGV
Blood Prime Brothers,grimdark-future,GYfbK,Blood Curse,0,2,"Target 2 enemy units within 12"" take 4 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Blood Prime Brothers,grimdark-future,CFcVg,Break Shields,2,3,"Target 2 enemy units within 18"" get -2 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -2 to defense rolls next time they take hits.",fXthP
Blood Prime Brothers,grimdark-future,Fsp_2,Rage Burst,0,3,"Target enemy unit within 12"" takes 6 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Change Disciples,grimdark-future,GsKdn,Breath of Change,1,1,"Target 2 friendly units within 12"" move +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
